Country,Unemployment Rate (%),Daily Minimum Wage in US Dollar
Qatar,0.1,9.15
Cambodia,0.31,6.33
Laos,1,3.99
Thailand,1.64,11.16
Myanmar,1.79,2.59
Singapore,2.2,120.33
Kuwait,2.3,6.53
Vietnam,2.46,6.41
Japan,2.6,76.38
South Korea,2.7,62.76
Kyrgyzstan,2.9,8.41
Macau,3.5,31.66
Taiwan,3.7,46.03
Israel,3.8,61.59
Malaysia,4.1,9.91
Sri Lanka,4.6,5.14
United Arab Emirates,5,9.02
Bangladesh,5.3,3.2
Hongkong,5.4,38.69
Indonesia,5.83,9.89
Philippines,5.8,10.28
China,6.1,12.81
Brunei,8.4,19.58
