Region,CurrentWage,InflationRate,UnemploymentRate,PovertyRate,EconomicGrowth
NCR,537,4.4,6.5,5.2,4.4
CAR,350,6.3,3.3,12.1,7.5
I,340,5.2,7.3,15.8,4.6
II,370,4.6,5.4,16.4,5.1
III,420,6.1,5.4,13.7,74
IV-A,400,4.7,6.6,10.6,7.6
IV-B,320,4.1,5.2,19.3,3.3
V,310,4.2,4.9,26.1,4.3
VI,395,4.9,5.4,19.2,5.9
VII,404,5.4,5.7,26.8,5.4
VIII,325,6.1,4.6,28.9,6
IX,316,4.5,4.2,30.9,5.7
X,365,4.6,5.1,26.2,6.3
XI,396,5.3,5.4,14,5.9
XII,336,4.2,4.9,27.1,5.2
CARAGA,320,4.4,4.2,31,7.2
BARMM,325,2.1,4.2,39.4,7.5
