Philippines' Minimum Wage Rates 2021,,,,
Region,Minimum wage rate (non-agriculture),Minimum wage rate (agriculture),,
,,Plantation,Non-plantation,
NCR,PHP537 (US$11.17),"
PHP5OO (US$10.40)","
PHP5OO (US$10.40)",
CAR,PHP350 (US$7.28),PHP350 (US$7.28),PHP350 (US$7.28),
I,PHP340 (US$7.07),PHP295 (US$6.13),PHP282 (US$5.86),
II,PHP370 (US$7.70),PHP345 (US$7.18),PHP345 (US$7.18),
III,PHP420 (US$8.74),PHP390 (US$8.11),PHP374 (US$7.78),
IV-A,PHP400 (US$8.32),PHP372 (US$7.74),PHP372 (US$7.74),
IV-B,PHP320 (US$6.66),PHP320 (US$6.66),PHP320 (US$6.66),
V,PHP310 (US$6.45),PHP310 (US$6.45),PHP310 (US$6.45),
VI,PHP395 (US$8.22),PHP315 (US$655),PHP315 (US$655),
VII,PHP404 (US$8.40),PHP394 (US$8.20),PHP394 (US$8.20),
VIII,PHP325 (US$6.76),PHP295 (US$6.14),PHP295 (US$6.14),
IX,PHP316 (US$657),PHP303 (US$6.30),PHP303 (US$6.30),
X,PHP365 (US$759),PHP353 (US$7.34),PHP353 (US$7.34),
XI,PHP396 (US$8.24),PHP391 (US$8.13),PHP391 (US$8.13),
XII,PHP336 (US$6.99),PHP315 (US$655),PHP315 (US$655),
CARAGA,PHP320 (US$6.66),PHP320 (US$6.66),PHP320 (US$6.66),
BARMM,PHP325 (US$6.76),PHP300 (US$6.24),PHP300 (US$6.24),
