"TABLE 1   Employed Persons by Sector, Occupation, and Class of Worker with Measures of Precision, Philippines:",,,,,,,,,,,,,,,,,,
"January 2021f, October 2021p, December 2021p, and January 2022p",,,,,,,,,,,,,,,,,,
(In Percent),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Sector/Occupation/Class of Worker ,January 2021f                           ,,,,October 2021p                           ,,,,December 2021p                           ,,,,"January 2022p, 1                           ",,,,,
,Estimate,Standard Error,90% Confidence Interval),,Estimate,Standard Error,90% Confidence Interval),,Estimate,Standard Error,90% Confidence Interval),,Estimate,Standard Error,90% Confidence Interval),,,
,,,Lower Limit,Upper Limit,,,Lower Limit,Upper Limit,,,Lower Limit,Upper Limit,,,Lower Limit,Upper Limit,,
,,,,,,,,,,,,,,,,,,
EMPLOYED PERSONS,"41,248",504,"40,419","42,077","43,826",547,"42,926","44,727","46,274","1,035","44,571","47,978","43,018",294,"42,534","43,502",,
  Number (in thousands),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  SECTOR,100.0,,,,100.0,,,,100.0,,,,100.0,,,,,
,,,,,,,,,,,,,,,,,,
Agriculture,24.4,0.6,23.4,25.3,24.6,0.6,23.6,25.5,25.6,1.1,23.7,27.5,21.7,0.3,21.3,22.2,,
Industry,18.4,0.3,17.9,19.0,17.8,0.3,17.3,18.4,17.8,0.7,16.7,18.9,19.3,0.2,19.0,19.6,,
Services,57.2,0.5,56.3,58.1,57.6,0.5,56.7,58.5,56.6,1.1,54.8,58.5,58.9,0.3,58.5,59.4,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  OCCUPATION,100.0,,,,100.0,,,,100.0,,,,100.0,,,,,
,,,,,,,,,,,,,,,,,,
Managers,8.3,0.2,8.0,8.6,8.4,0.2,8.1,8.7,7.6,0.4,6.9,8.2,7.7,0.1,7.5,7.8,,
Professionals,5.7,0.2,5.4,6.0,5.5,0.2,5.3,5.8,5.4,0.3,4.9,6.0,5.4,0.1,5.3,5.5,,
Technicians and associate professionals,3.7,0.1,3.5,4.0,4.1,0.1,3.9,4.4,3.9,0.3,3.4,4.3,4.2,0.1,4.1,4.3,,
Clerical support workers,6.4,0.2,6.1,6.7,6.8,0.2,6.5,7.1,7.0,0.4,6.4,7.6,7.1,0.1,7.0,7.3,,
Service and sales workers,19.9,0.3,19.4,20.3,19.9,0.3,19.4,20.3,20.3,0.5,19.4,21.1,21.0,0.1,20.7,21.2,,
"Skilled agricultural, forestry, and fishery workers",13.2,0.3,12.7,13.8,12.4,0.3,11.9,12.9,13.1,0.6,12.1,14.1,11.2,0.2,11.0,11.5,,
Craft and related trades workers,7.2,0.2,6.9,7.5,7.0,0.2,6.8,7.3,6.7,0.3,6.1,7.2,7.6,0.1,7.4,7.7,,
Plant and machine operators and assemblers,8.0,0.2,7.6,8.3,7.0,0.2,6.7,7.3,6.7,0.3,6.2,7.2,7.9,0.1,7.7,8.1,,
Elementary occupations,27.4,0.4,26.7,28.0,28.6,0.4,27.9,29.3,29.3,0.8,28.0,30.5,27.7,0.2,27.4,28.0,,
Armed forces occupations,0.2,0.0,0.2,0.3,0.2,0.0,0.2,0.2,0.2,0.0,0.1,0.3,0.2,0.0,0.2,0.2,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  CLASS OF WORKER,100.0,,,,100.0,,,,100.0,,,,100.0,,,,,
,,,,,,,,,,,,,,,,,,
Wage and salary workers,62.8,0.4,62.1,63.5,62.5,0.4,61.8,63.2,61.0,0.9,59.6,62.4,65.6,0.2,65.3,66.0,,
Worked for private household,4.2,0.1,4.0,4.4,4.2,0.1,3.9,4.4,4.1,0.3,3.7,4.5,4.2,0.1,4.1,4.3,,
Worked for private establishment,49.0,0.4,48.3,49.7,48.5,0.4,47.8,49.2,47.1,0.8,45.8,48.4,51.6,0.2,51.2,51.9,,
Worked for government or government corporation,9.3,0.2,9.0,9.6,9.4,0.2,9.1,9.8,9.5,0.4,8.7,10.2,9.5,0.1,9.3,9.6,,
Worked with pay in own-family operated farm or business,0.3,0.0,0.2,0.3,0.4,0.0,0.3,0.5,0.3,0.1,0.2,0.4,0.4,0.0,0.3,0.4,,
Self-employed without any paid employee,28.6,0.4,28.0,29.2,27.1,0.3,26.6,27.7,28.0,0.6,26.9,29.0,26.5,0.2,26.2,26.8,,
