"TABLE A - Key Employment Indicators with Measures of Precision, Philippines:",,,,,,,,,,,,,,,,,,,,,,
"October 2020f, July 2021p, September 2021p and October 2021p",,,,,,,,,,,,,,,,,,,,,,
(In Thousands Except Rates),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
INDICATOR,October 2020f                          ,,,,July 2021p                           ,,,,September 2021p                           ,,,,October 2021p                           ,,,,Increment/ (Decrement),,Growth Rate,,,
,Estimate,"Standard 
Error",90% Confidence Interval),,Estimate,"Standard 
Error",90% Confidence Interval),,Estimate,Standard Error,90% Confidence Interval),,Estimate,Standard Error,90% Confidence Interval),,,,,,,
,,,Lower Limit,Upper Limit,,,Lower Limit,Upper Limit,,,Lower Limit,Upper Limit,,,Lower Limit,Upper Limit,October 2021p -September 2021p,October 2021p - October 2020f,October 2021p -September 2021p,October 2021p - October 2020f,,
Labor Force,"43,649",552,"42,741","44,558","44,740",449,"44,001","45,479","47,847","1,245","45,799","49,894","47,330",598,"46,347","48,313",-517,"3,681",(1.1),8.4 ,,
New Entrants to the Labor Force,926,40,861,991,"1,992",58,"1,897","2,086",,,,,"1,051",49,971,"1,131",,126,,13.6 ,,
Employed,"39,837",505,"39,006","40,668","41,667",420,"40,976","42,358","43,592","1,126","41,740","45,443","43,826",548,"42,926","44,727",235,"3,990",0.5 ,10.0 ,,
Underemployed,"5,747",181,"5,450","6,044","8,692",169,"8,414","8,970","6,183",393,"5,537","6,829","7,044",222,"6,679","7,410",862,"1,297",13.9 ,22.6 ,,
  • Visible Underemployment1,"3,605",118,"3,410","3,800","4,518",88,"4,374","4,663","4,415",274,"3,964","4,866","4,708",146,"4,468","4,947",293,"1,103",6.6 ,30.6 ,,
  • Invisible Underemployment,"2,142",91,"1,992","2,293","4,172",118,"3,978","4,366","1,768",188,"1,458","2,077","2,337",115,"2,148","2,525",569,194,32.2 ,9.1 ,,
Unemployed,"3,813",106,"3,638","3,988","3,073",69,"2,960","3,187","4,255",249,"3,845","4,665","3,504",102,"3,336","3,671",-751,-309,(17.6),(8.1),,
Not in the Labor Force,"30,657",426,"29,957","31,358","30,064",334,"29,516","30,613","27,724",734,"26,517","28,931","28,240",392,"27,595","28,884",516,"-2,418",1.9 ,(7.9),,
,,,,,,,,,,,,,,,,,,,,,,
Total Population 15 Years Old and Over ,,,,,,,,,,,,,,,,,,,,,,
  Labor Force Participation Rate (%),58.7,0.3,58.3,59.2,59.8,0.18,59.5,60.1,63.3,0.47,62.54,64.09,62.6,0.3,62.2,63.1,-0.7,3.9,(1.1),6.6 ,,
  Proportion of New Entrants (%),2.1,0.1,2.0,2.3,4.5,0.11,4.3,4.7,,,,,2.2,0.1,2.1,2.4,,0.1,,4.7 ,,
  Employment Rate(%),91.3,0.2,90.9,91.6,93.1,0.14,92.9,93.4,91.1,0.44,90.39,91.83,92.6,0.2,92.3,92.9,1.5,1.3,1.6 ,1.5 ,,
Underemployment Rate (%),14.4,0.4,13.7,15.1,20.9,0.34,20.3,21.4,14.2,0.87,12.75,15.61,16.1,0.5,15.3,16.9,1.9,1.6,13.3 ,11.4 ,,
Visible Underemployment Rate (%),9.1,0.3,8.6,9.5,10.8,0.19,10.5,11.2,10.1,0.62,9.11,11.15,10.7,0.3,10.3,11.2,0.6,1.7,6.0 ,18.7 ,,
Invisible Underemployment Rate (%),5.4,0.2,5.0,5.7,10.0,0.25,9.6,10.4,4.1,0.42,3.37,4.74,5.3,0.3,4.8,5.8,1.3,-0.0,31.5 ,(0.9),,
  Unemployment Rate (%),8.7,0.2,8.4,9.1,6.9,0.14,6.6,7.1,8.9,0.44,8.17,9.61,7.4,0.2,7.1,7.7,-1.5,-1.3,(16.8),(15.3),,
  Mean Hours of Work ,40.8,0.2,40.6,41.1,41.8,0.11,41.6,42.0,40.2,0.34,39.60,40.71,39.7,0.2,39.5,40.0,-0.4,-1.1,(1.0),(2.7),,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Youth Labor Force,"6,804",128,"6,594","7,015","6,605",97,"6,445","6,765","7,196",294,"6,713","7,680","7,185",145,"6,947","7,423",-11,381,(0.2),5.6 ,,
New Entrants Youth,693,33,640,747,"1,418",44,"1,343","1,493",,,,,866,42,796,935,,172,,24.9 ,,
Employed Youth,"5,481",103,"5,312","5,650","5,591",76,"5,466","5,716","5,924",244,"5,522","6,325","6,098",123,"5,897","6,300",175,617,2.9 ,11.3 ,,
Underemployed Youth,687,36,629,746,"1,065",33,"1,010","1,119",760,73,640,880,889,49,809,969,129,202,17.0 ,29.4 ,,
Unemployed Youth,"1,323",49,"1,242","1,404","1,014",36,955,"1,073","1,273",101,"1,106","1,440","1,087",43,"1,016","1,157",-186,-236,(14.6),(17.9),,
NEET (Unemployed) 15 - 24 years old,"1,277",48,"1,198","1,356",925,35,867,983,,,,,"1,028",41,960,"1,095",,-250,,(19.5),,
Youth Not in the Labor Force (NILF),"13,248",208,"12,905","13,590","13,234",152,"12,985","13,483",,,,,"12,919",205,"12,582","13,256",,-329,,(2.5),,
NEET (NILF) 15 - 24 years old,"2,819",73,"2,699","2,939","2,547",37,"2,487","2,608",,,,,"1,762",35,"1,705","1,820",,"-1,057",,(37.5),,
,,,,,,,,,,,,,,,,,,,,,,
Youth Population,,,,,,,,,,,,,,,,,,,,,,
 Youth Labor Force Participation Rate (%),33.9,0.4,33.2,34.6,33.3,0.3,32.7,33.9,35.8,0.9,34.3,37.2,35.7,0.5,35.0,36.5,-0.0,1.8,(0.1),5.3 ,,
 Youth Employment Rate (%),80.6,0.6,79.5,81.6,84.7,0.5,83.8,85.5,82.3,1.2,80.3,84.4,84.9,0.5,84.0,85.7,2.6,4.3,3.1 ,5.4 ,,
